observed_month,percent_hens,percent_eggs,source
2007-12-31,3.2,NA,Egg-Markets-Overview-2019-10-19.pdf
2008-12-31,3.5,NA,Egg-Markets-Overview-2019-10-19.pdf
2009-12-31,3.6,NA,Egg-Markets-Overview-2019-10-19.pdf
2010-12-31,4.4,NA,Egg-Markets-Overview-2019-10-19.pdf
2011-12-31,5.4,NA,Egg-Markets-Overview-2019-10-19.pdf
2012-12-31,6,NA,Egg-Markets-Overview-2019-10-19.pdf
2013-12-31,5.9,NA,Egg-Markets-Overview-2019-10-19.pdf
2014-12-31,5.7,NA,Egg-Markets-Overview-2019-10-19.pdf
2015-12-31,8.6,NA,Egg-Markets-Overview-2019-10-19.pdf
2016-04-30,9.9,NA,Egg-Markets-Overview-2016-12-02.pdf
2016-08-31,10.135685255402652,9.634938433950985,computed
2016-08-31,12,NA,Egg-Markets-Overview-2016-12-02.pdf
2016-09-30,10.057044877501896,9.557439112898427,computed
2016-10-31,12.29352758850686,11.602312880027455,computed
2016-11-30,12.100615329162483,11.372893007775515,computed
2016-12-31,11.79348848880246,10.922373142052153,computed
2016-12-31,12.3,NA,Egg-Markets-Overview-2019-10-19.pdf
2017-01-31,11.819847913765408,11.134664099991866,computed
2017-02-10,12.7,NA,Egg-Markets-Overview-2017-02-10.pdf
2017-02-28,12.152509256424258,11.495958642899517,computed
2017-03-31,12.842127238278396,11.916746966881629,computed
2017-03-31,12.9,NA,Egg-Markets-Overview-2017-04-28.pdf
2017-04-30,13.082770753021421,12.366717971727313,computed
2017-05-01,14.1,NA,Egg-Markets-Overview-2017-06-02.pdf
2017-05-31,13.41568450408394,12.643049284596325,computed
2017-06-30,13.481425234396617,12.694925845453554,computed
2017-07-01,14.2,NA,Egg-Markets-Overview-2017-08-11.pdf
2017-07-31,13.556505834771633,12.746922808243102,computed
2017-08-31,14.71244872326141,13.992594073980458,computed
2017-09-01,14.6,NA,Egg-Markets-Overview-2017-09-29.pdf
2017-09-30,15.30265971750906,14.580099350253217,computed
2017-10-31,15.697888729297217,14.898044654825892,computed
2017-11-01,16.6,NA,Egg-Markets-Overview-2017-11-24.pdf
2017-11-30,15.461368487602737,14.557200857659247,computed
2017-12-31,15.431955014453873,14.50954345771006,computed
2017-12-31,16.6,NA,Egg-Markets-Overview-2019-10-19.pdf
2018-01-31,15.628014063034753,14.842950853120458,computed
2018-02-28,16.070222194676006,15.287288092622328,computed
2018-03-09,16.9,NA,Egg-Markets-Overview-2018-03-09.pdf
2018-03-31,15.978369717604647,15.200143505511132,computed
2018-04-30,16.802016673968986,15.984825272574783,computed
2018-05-31,16.831202710053905,15.960442802035725,computed
2018-06-30,16.910273532175893,16.09892499553013,computed
2018-07-31,16.926076059040135,16.09698467947686,computed
2018-08-31,16.892830892571478,15.961225273552987,computed
2018-09-30,17.577628472852734,16.6151704940849,computed
2018-10-31,17.4985916872811,16.528947127006756,computed
2018-10-31,18.4,NA,Egg-Markets-Overview-2019-10-19.pdf
2018-11-30,17.340282876334136,16.340388977644423,computed
2018-12-31,17.25323520799814,16.25076540681534,computed
2019-01-31,17.1839344824165,16.21875638294567,computed
2019-02-28,17.01266619556891,16.115221712233087,computed
2019-03-15,18.4,NA,Egg-Markets-Overview-2019-03-15.pdf
2019-03-31,18.14745272916636,17.12851760468441,computed
2019-04-30,19.539796636522386,18.41838655462185,computed
2019-05-03,19.2,NA,Egg-Markets-Overview-2019-05-03.pdf
2019-05-31,19.931186215720153,18.697246786856795,computed
2019-06-30,20.35607588601932,19.14980584815395,computed
2019-07-31,20.450388939013386,19.27574327384727,computed
2019-08-01,21.8,NA,Egg-Markets-Overview-2019-08-09.pdf
2019-08-31,20.33503771977947,19.15080206240167,computed
2019-09-01,23.2,NA,Egg-Markets-Overview-2019-09-06.pdf
2019-09-30,20.593612248702545,19.371136267866703,computed
2019-10-25,24.1,NA,Egg-Markets-Overview-2019-10-25.pdf
2019-10-31,20.946688630263893,19.549620438993205,computed
2019-11-25,23.9,NA,Egg-Markets-Overview-2019-11-29.pdf
2019-11-30,20.88313089940818,19.45192684407881,computed
2019-12-27,23.4,NA,Egg-Markets-Overview-2019-12-27.pdf
2019-12-31,20.75807671338879,19.462797548457818,computed
2020-01-24,23.3,NA,Egg-Markets-Overview-2020-01-24.pdf
2020-01-31,20.593116055634766,19.326802118297415,computed
2020-02-28,23.6,NA,Egg-Markets-Overview-2020-03-06.pdf
2020-02-29,20.941813839179623,19.694384254157324,computed
2020-03-24,26.2,NA,Egg-Markets-Overview-2020-03-27.pdf
2020-03-31,23.260198419777876,21.778569861230004,computed
2020-04-21,26.2,NA,Egg-Markets-Overview-2020-04-24.pdf
2020-04-30,23.411221521462796,22.163170849298382,computed
2020-05-29,26.6,NA,Egg-Markets-Overview-2020-05-29.pdf
2020-05-31,23.86757144899875,23.468546129324228,computed
2020-06-26,27.4,NA,Egg-Markets-Overview-2020-06-26.pdf
2020-06-30,24.666819780648492,24.301492537313433,computed
2020-07-27,27.6,NA,Egg-Markets-Overview-2020-07-27.pdf
2020-07-31,25.041130435887336,23.939509424881688,computed
2020-08-28,28,NA,Egg-Markets-Overview-2020-08-28.pdf
2020-08-31,24.9600316580926,24.54605154263683,computed
2020-09-25,28.5,NA,Egg-Markets-Overview-2020-09-25.pdf
2020-09-30,25.025110061859927,24.113967473607968,computed
2020-10-30,28.5,NA,Egg-Markets-Overview-2020-10-30.pdf
2020-10-31,24.803567998314527,23.923739032675485,computed
2020-11-27,28.3,NA,Egg-Markets-Overview-2020-11-27.pdf
2020-11-30,24.614360516420234,23.826923503530892,computed
2020-12-23,28.2,NA,Egg-Markets-Overview-2020-12-25.pdf
2020-12-31,24.40539374787777,23.89911821221716,computed
2021-01-25,28.5,NA,Egg-Markets-Overview-2021-01-25.pdf
2021-01-31,25.15645301823629,24.394692459476797,computed
2021-02-28,25.98362485133652,25.26949821896633,computed
2021-02-28,29.2,NA,Egg-Markets-Overview-2021-03-05.pdf
2021-03-26,29.2,NA,Egg-Markets-Overview-2021-03-26.pdf
2021-03-31,26.073304372369275,25.074497226201014,computed
2021-04-23,29.7,NA,Egg-Markets-Overview-2021-04-23.pdf
2021-04-30,26.67368394943836,25.91470478732493,computed
2021-05-28,30.3,NA,Egg-Markets-Overview-2021-05-28.pdf
2021-05-31,27.039025202794654,26.28815154494009,computed
2021-06-25,30.6,NA,Egg-Markets-Overview-2021-06-25.pdf
2021-06-30,27.090536378922707,26.288078346699567,computed
2021-07-23,30.5,NA,Egg-Markets-Overview-2021-07-23.pdf
2021-07-31,26.963349964898203,26.17004483957026,computed
2021-08-27,31.8,NA,Egg-Markets-Overview-2021-08-27.pdf
2021-08-31,28.557305761078698,27.653890104486784,computed
2021-09-24,32.3,NA,Egg-Markets-Overview-2021-09-24.pdf
2021-09-30,28.78121644961023,27.762864910350185,computed
2021-10-29,32.2,NA,Egg-Markets-Overview-2021-10-29.pdf
2021-10-31,28.598639413882413,27.767958872143392,computed
2021-11-26,31.9,NA,Egg-Markets-Overview-2021-11-26.pdf
2021-11-30,28.83023043277592,27.87083109815833,computed
2021-12-24,33.9,NA,Egg-Markets-Overview-2021-12-24.pdf
2021-12-31,34.00642732531448,34.63398329279899,computed
2022-01-21,34.1,NA,Egg-Markets-Overview-2022-01-21.pdf
2022-01-31,34.26810800808056,35.090948302677155,computed
2022-02-28,34.532813748131204,34.6353299135119,computed
2022-02-28,34.4,NA,Egg-Markets-Overview-2022-03-04.pdf
2022-03-31,34.693666364472136,34.35281921744142,computed
2022-03-31,33.7,NA,Egg-Markets-Overview-2022-04-04.pdf
2022-04-29,36,NA,Egg-Markets-Overview-2022-04-29.pdf
2022-04-30,35.886784172970685,36.09120129827142,computed
2022-05-27,35.5,NA,Egg-Markets-Overview-2022-05-27.pdf
2022-05-31,35.56307888074706,35.84102248810161,computed
2022-06-24,34.8,NA,Egg-Markets-Overview-2022-06-24.pdf
2022-06-30,34.64126724472455,35.030534422078446,computed
2022-07-29,35.1,NA,Egg-Markets-Overview-2022-07-29.pdf
2022-08-26,34.7,NA,Egg-Markets-Overview-2022-08-26.pdf
2022-09-30,34.4,NA,Egg-Markets-Overview-2022-09-30.pdf
2022-10-28,34.8,NA,Egg-Markets-Overview-2022-10-28.pdf
2022-11-25,34.6,NA,Egg-Markets-Overview-2022-11-25.pdf
2022-12-23,34.4,NA,Egg-Markets-Overview-2022-12-23.pdf
2023-01-27,36.3,NA,Egg-Markets-Overview-2022-01-27.pdf
2023-03-03,37.1,NA,Egg-Markets-Overview-2022-03-03.pdf
2023-03-31,38.3,NA,Egg-Markets-Overview-2022-03-31.pdf
